"18/5",12,0
"24/5",12,0
6,12,0
"36/5",12,0
"42/5",12,0
"48/5",12,0
"54/5",12,0
12,12,0
"66/5",12,0
"72/5",12,0
"78/5",12,0
"84/5",12,0
18,12,0
"96/5",12,0
"102/5",12,0
"108/5",12,0
"114/5",12,0
24,12,0
"126/5",12,0
"132/5",12,0
"138/5",12,0
"144/5",12,0
30,12,0
"156/5",12,0
"162/5",12,0
"168/5",12,0
"174/5",12,0
36,12,0
"186/5",12,0
"192/5",12,0
"198/5",12,0
"204/5",12,0
42,12,0
"216/5",12,0
"222/5",12,0
"228/5",12,0
"234/5",12,0
48,12,0
"246/5",12,0
"252/5",12,0
"258/5",12,0
"264/5",12,0
54,12,0
"276/5",12,0
"282/5",12,0
"288/5",12,0
"294/5",12,0
60,12,0
0,"66/5",0
"6/5","66/5",0
"12/5","66/5",0
"18/5","66/5",0
"24/5","66/5",0
6,"66/5",0
"36/5","66/5",0
"42/5","66/5",0
"48/5","66/5",0
"54/5","66/5",0
12,"66/5",0
"66/5","66/5",0
"72/5","66/5",0
"78/5","66/5",0
"84/5","66/5",0
18,"66/5",0
"96/5","66/5",0
"102/5","66/5",0
"108/5","66/5",0
"114/5","66/5",0
24,"66/5",0
"126/5","66/5",0
"132/5","66/5",0
"138/5","66/5",0
"144/5","66/5",0
30,"66/5",0
"156/5","66/5",0
"162/5","66/5",0
"168/5","66/5",0
"174/5","66/5",0
36,"66/5",0
"186/5","66/5",0
"192/5","66/5",0
"198/5","66/5",0
"204/5","66/5",0
42,"66/5",0
"216/5","66/5",0
"222/5","66/5",0
"228/5","66/5",0
"234/5","66/5",0
48,"66/5",0
"246/5","66/5",0
"252/5","66/5",0
"258/5","66/5",0
"264/5","66/5",0
54,"66/5",0
"276/5","66/5",0
"282/5","66/5",0
"288/5","66/5",0
"294/5","66/5",0
60,"66/5",0
0,"72/5",0
"6/5","72/5",0
"12/5","72/5",0
"18/5","72/5",0
"24/5","72/5",0
6,"72/5",0
"36/5","72/5",0
"42/5","72/5",0
"48/5","72/5",0
"54/5","72/5",0
12,"72/5",0
"66/5","72/5",0
"72/5","72/5",0
"78/5","72/5",0
"84/5","72/5",0
18,"72/5",0
"96/5","72/5",0
"102/5","72/5",0
"108/5","72/5",0
"114/5","72/5",0
24,"72/5",0
"126/5","72/5",0
"132/5","72/5",0
"138/5","72/5",0
"144/5","72/5",0
30,"72/5",0
"156/5","72/5",0
"162/5","72/5",0
"168/5","72/5",0
"174/5","72/5",0
36,"72/5",0
"186/5","72/5",0
"192/5","72/5",0
"198/5","72/5",0
"204/5","72/5",0
42,"72/5",0
"216/5","72/5",0
"222/5","72/5",0
"228/5","72/5",0
"234/5","72/5",0
48,"72/5",0
"246/5","72/5",0
"252/5","72/5",0
"258/5","72/5",0
"264/5","72/5",0
54,"72/5",0
"276/5","72/5",0
"282/5","72/5",0
"288/5","72/5",0
"294/5","72/5",0
60,"72/5",0
0,"78/5",0
"6/5","78/5",0
"12/5","78/5",0
"18/5","78/5",0
"24/5","78/5",0
6,"78/5",0
"36/5","78/5",0
"42/5","78/5",0
"48/5","78/5",0
"54/5","78/5",0
12,"78/5",0
"66/5","78/5",0
"72/5","78/5",0
"78/5","78/5",0
"84/5","78/5",0
18,"78/5",0
"96/5","78/5",0
"102/5","78/5",0
"108/5","78/5",0
"114/5","78/5",0
24,"78/5",0
"126/5","78/5",0
"132/5","78/5",0
"138/5","78/5",0
"144/5","78/5",0
30,"78/5",0
"156/5","78/5",0
"162/5","78/5",0
"168/5","78/5",0
"174/5","78/5",0
36,"78/5",0
"186/5","78/5",0
"192/5","78/5",0
"198/5","78/5",0
"204/5","78/5",0
42,"78/5",0
"216/5","78/5",0
"222/5","78/5",0
"228/5","78/5",0
"234/5","78/5",0
48,"78/5",0
"246/5","78/5",0
"252/5","78/5",0
"258/5","78/5",0
"264/5","78/5",0
54,"78/5",0
"276/5","78/5",0
"282/5","78/5",0
"288/5","78/5",0
"294/5","78/5",0
60,"78/5",0
0,"84/5",0
"6/5","84/5",0
"12/5","84/5",0
"18/5","84/5",0
"24/5","84/5",0
6,"84/5",0
"36/5","84/5",0
"42/5","84/5",0
"48/5","84/5",0
"54/5","84/5",0
12,"84/5",0
"66/5","84/5",0
"72/5","84/5",0
"78/5","84/5",0
"84/5","84/5",0
18,"84/5",0
"96/5","84/5",0
"102/5","84/5",0
"108/5","84/5",0
"114/5","84/5",0
24,"84/5",0
"126/5","84/5",0
"132/5","84/5",0
"138/5","84/5",0
"144/5","84/5",0
30,"84/5",0
"156/5","84/5",0
"162/5","84/5",0
"168/5","84/5",0
"174/5","84/5",0
36,"84/5",0
"186/5","84/5",0
"192/5","84/5",0
"198/5","84/5",0
"204/5","84/5",0
42,"84/5",0
"216/5","84/5",0
"222/5","84/5",0
"228/5","84/5",0
"234/5","84/5",0
48,"84/5",0
"246/5","84/5",0
"252/5","84/5",0
"258/5","84/5",0
"264/5","84/5",0
54,"84/5",0
"276/5","84/5",0
"282/5","84/5",0
"288/5","84/5",0
"294/5","84/5",0
60,"84/5",0
0,18,0
"6/5",18,0
"12/5",18,0
"18/5",18,0
"24/5",18,0
6,18,0
"36/5",18,0
"42/5",18,0
"48/5",18,0
"54/5",18,0
12,18,0
"66/5",18,0
"72/5",18,0
"78/5",18,0
"84/5",18,0
18,18,0
"96/5",18,0
"102/5",18,0
"108/5",18,0
"114/5",18,0
24,18,0
"126/5",18,0
"132/5",18,0
"138/5",18,0
